(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(1, (3, 4, 0, 0))
(0, (3, 4, 0, 0))
Número de passos: 99
