param: VERTICES: demand := 
	    1   107
	    2   -80
	    3  -115
	    4   102
	    5    78
	    6   -79
	    7    53
	    8   -91
	    9   -67
	   10    94
	   11   -71
	   12   -60
	   13   104
	   14    75
	   15   -72
	   16   -72
	   17    74
	   18   -79
	   19    95
	   20   -62
	   21   -82
	   22   119
	   23    98
	   24   -69
	;

param: ARCS: capacity weight := 
	    1     2    93    20
	    1     3    96    16
	    2     1    27    11
	    2     6    65    15
	    3     1    53    19
	    3     4    70     8
	    3    12    91     2
	    4     3    92    18
	    4     5    64     3
	    4    11    31    18
	    5     4    82    13
	    5     6    66    13
	    5     9    48    17
	    6     2    34     2
	    6     5    63     1
	    6     8    91     7
	    7     8    50     2
	    7    18    41     6
	    8     6    67    10
	    8     7    71     5
	    8     9    91    20
	    8    16    58     1
	    9     5    32    10
	    9     8    74    12
	    9    10    12    18
	   10     9    70    18
	   10    11    87    12
	   10    15    88     2
	   10    16    67    16
	   10    17    25    10
	   11     4    49     8
	   11    10    47     8
	   11    12    22    17
	   11    14    68    18
	   12     3     9    14
	   12    11    67     7
	   12    13    38     6
	   13    12    96     7
	   13    24    56     4
	   14    11    97    20
	   14    15    24     5
	   14    23    38     9
	   15    10    46    12
	   15    14    44    13
	   15    19    64    10
	   15    22     7     4
	   16     8    33    20
	   16    10    14    11
	   16    17    40     9
	   16    18    95     9
	   17    10    78    16
	   17    16    31     1
	   17    19    51    10
	   18     7    10    17
	   18    16     6     4
	   18    20    58    19
	   19    15    57     6
	   19    17    85     7
	   19    20    46    12
	   20    18    40     2
	   20    19    10    16
	   20    21    90    20
	   20    22    64     9
	   21    20    27     5
	   21    22    56     9
	   21    24    65     2
	   22    15    86    11
	   22    20    89    14
	   22    21    58     1
	   22    23    42    15
	   23    14    84     5
	   23    22    75     5
	   23    24    72    15
	   24    13    30     8
	   24    21    19    17
	   24    23    37     4
	;
