param: VERTICES: demand := 
	    1    57
	    2   -65
	    3    50
	    4   -30
	    5    91
	    6   -44
	    7   -20
	    8   -59
	    9   -10
	   10    30
	;

param: ARCS: capacity weight := 
	    1     2    76    10
	    1     3    15    19
	    1     5     5     5
	    2     1    11    16
	    2     3     9    11
	    2     4    11    14
	    3     1    14     7
	    3     2    14    12
	    3     4    10     1
	    3     8    51    17
	    4     2    14    14
	    4     3     8     3
	    4     6     5    11
	    4     7    10    17
	    5     1    32     2
	    5     6    61     1
	    5    10    27     6
	    6     4    11     6
	    6     7     8     5
	    6     8    11     8
	    6     9    11    17
	    6    10    14     6
	    7     4    10     7
	    7     6     5    10
	    7     8     6    14
	    8     3     6    18
	    8     6     9     5
	    8     7    14    16
	    8     9    14     3
	    8    10    11     6
	    9     1     8     8
	    9     6     5    15
	    9     8    11     8
	    9    10     8    15
	   10     5     4     5
	   10     6     6     4
	   10     8    16    11
	   10     9    14     8
	;
